Epoch 0, Loss: 0.007441309684501544, Validation Loss: 0.0002745709498412907, LR: 0.001
Epoch 10, Loss: 2.768638621749139e-05, Validation Loss: 2.6648958737496287e-05, LR: 0.001
Epoch 20, Loss: 1.6086978244511734e-05, Validation Loss: 1.951078411366325e-05, LR: 0.001
Epoch 30, Loss: 1.1666950046634922e-05, Validation Loss: 4.270856152288616e-06, LR: 0.001
Epoch 40, Loss: 9.10853133385683e-06, Validation Loss: 3.5081309306406183e-06, LR: 0.001
Epoch 50, Loss: 8.291109637137165e-06, Validation Loss: 7.796663339831866e-06, LR: 0.001
Epoch 60, Loss: 7.184338526374941e-06, Validation Loss: 1.003378929453902e-05, LR: 0.001
Epoch 70, Loss: 6.316269612780927e-06, Validation Loss: 1.8240307326777838e-06, LR: 0.001
Epoch 80, Loss: 5.7466101618242716e-06, Validation Loss: 2.4349762952624587e-06, LR: 0.001
Epoch 90, Loss: 5.31111131339473e-06, Validation Loss: 3.0962826258473797e-06, LR: 0.001
Epoch 100, Loss: 5.09140700239086e-06, Validation Loss: 1.906952888930391e-06, LR: 0.001
Epoch 110, Loss: 4.835804595673033e-06, Validation Loss: 1.4881173910907819e-06, LR: 0.001
Epoch 120, Loss: 4.676291808846058e-06, Validation Loss: 5.075291483080946e-06, LR: 0.001
Epoch 130, Loss: 4.296760053048756e-06, Validation Loss: 1.5391159422506462e-06, LR: 0.001
Epoch 140, Loss: 1.627009341400243e-06, Validation Loss: 1.5178396779447212e-06, LR: 0.0005
