Epoch,Training Loss,Validation Loss,LR
0,0.10270106365227925,0.00466503668576479,0.001
10,0.000506783474500803,0.0004172000044491142,0.001
20,0.000245765478802088,0.0001699678396107629,0.001
30,0.0001658409921239519,9.655216854298487e-05,0.001
40,0.00011053615452120859,6.918964209035039e-05,0.001
50,0.00011904603770431936,4.2864412534981966e-05,0.001
60,8.3375159630235e-05,4.271508805686608e-05,0.001
70,5.941352037944116e-05,0.0003872525121551007,0.001
80,4.679506721624604e-05,2.6240946681355126e-05,0.001
90,4.0245150396411984e-05,7.578736403957009e-05,0.001
100,3.8915080545329205e-05,1.3107502127240878e-05,0.001
110,3.9459071557315035e-05,2.5374189135618508e-05,0.001
120,3.033131287499552e-05,2.5034274585777894e-05,0.001
130,3.587355079464924e-05,2.658362063812092e-05,0.001
140,2.392939031628154e-05,1.6277732356684282e-05,0.001
